"stelle","zeichen_code","zeichen_original","position","bedeutung","normen","verwendung_ende","version","doi_concept","doi_version"
"BAG","ABN","ABN","hauptzeichen","Nichtzulassung der Rechtsbeschwerde","§ 92a ArbGG",NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"BAG","ABR","ABR","hauptzeichen","Rechtsbeschwerde","§§ 92 ff ArbGG",NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"BAG","ABV","ABV","hauptzeichen","Erstinstanzliche Beschlussverfahren aufgrund SGB IX im Geschäftsbereich des Bundesnachrichtendienstes",NA,NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"BAG","ACA","ACA","hauptzeichen","Erstinstanzliche Urteilsverfahren aufgrund SGB IX im Geschäftsbereich des Bundesnachrichtendienstes",NA,NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"BAG","AS","AS","hauptzeichen","Sonderverfahren",NA,NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"BAG","AZA","AZA","hauptzeichen","Prozesskostenhilfe außerhalb anhängiger Verfahren",NA,NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"BAG","AZB","AZB","hauptzeichen","Sofortige Beschwerde wegen verspäteter Absetzung des Berufungsurteils; Revisionsbeschwerde; Rechtsbeschwerde","§ 72b ArbGG; § 77 ArbGG; § 78 ArbGG",NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"BAG","AZM","AZM","hauptzeichen","Nichtzulassung der Revisionsbeschwerde","§§ 77 Satz 2 ArbGG",NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"BAG","AZN","AZN","hauptzeichen","Nichtzulassung der Revision","§ 72a ArbGG",NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"BAG","AZR","AZR","hauptzeichen","Revisionen in Urteilsverfahren","§ 72 ArbGG",NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"BAG","E","E","hauptzeichen","Klagen gegen den Bund","§ 201 GVG; § 9 II ArbGG",NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"BAG","GS","GS","hauptzeichen","Großer Senat des Bundesarbeitsgerichts",NA,NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"BFH","AR","AR","hauptzeichen","Allgemeines Register: Vorverfahren oder sonstige Verfahrensarten",NA,NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"BFH","B","B","hauptzeichen","Beschwerden; Nichtzulassungsbeschwerden","§ 36 Nr.2 FGO; § 116 FGO",NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
"BFH","E","E","hauptzeichen","Erinnerung zu Kosten und Streitwert, Erinnerung in Kostenfestsetzungsverfahren",NA,NA,"1.0.1","10.5281/zenodo.4559383","10.5281/zenodo.4569564"
